RAg Ram Ras  Decg Decm Decs   GIN  Name    m    Type    Dn     e      Re         <SBe>   BTot         SBe     B-R     AR      KR      KB     D/B    ReB         mueB    h          mu0 
02 59 16.1  +06 08 01  167  A400      H  E/S0  22.32   0.27   4.01        18.86  13.95        20.08  99.999   0.190   0.027   0.137   1.09   1.74       19.24   3.71       19.40
02 58 29.7  +06 18 23  168  A400      I  S     25.11   0.34   8.18        19.94  13.48        20.80  99.999   0.190   0.007   0.087   5.86   1.82       20.16   5.51       19.25
02 58 24.6  +06 35 30  169  A400      J  E/S0  35.55   0.27   8.97        19.44  12.79        20.57   1.707   0.188   0.021   0.105   0.51   8.18       21.08   5.90       19.72
02 59 52.4  +06 31 58  170  A400      K  S     19.23  99.99   8.15        20.30  13.85        21.16  99.999   0.200   0.009   0.112   6.12   1.60       20.29   5.49       19.61
02 57 41.6  +06 01 38  171  A400      L  DB    31.98   0.48  57.41        22.35  11.66        23.49  99.999   0.190   0.023   0.113   2.61   9.32       21.19  47.40       22.28
03 00 08.7  +05 48 15  172  A400      1  S     23.92  99.99   7.27        19.68  13.48        21.24  99.999   0.176   0.007   0.086   1.06   1.93       18.97   9.32       20.94
03 00 00.0  +05 58 03  173  A400      2  S     10.80   0.22  10.51        21.17  14.17        21.98  99.999   0.173   0.009   0.111   9.87   1.86       21.39   6.78       20.32
03 08 20.1  -04 08 19  174  J28       A  cD    43.04   0.12  20.97        20.46  11.98        21.88   1.478   0.092   0.029   0.145   0.02  21.90       21.97   1.00       17.92
03 07 44.7  -04 19 09  175  J28       B  E/S0  27.00   0.17   6.27        19.24  13.38        20.61   1.552   0.087   0.029   0.144   0.30   4.54       20.22   7.63       21.26
03 08 03.3  -04 24 00  176  J28       C  E     32.15   0.14  12.87        20.15  12.73        21.53   1.515   0.087   0.029   0.144  99.99  99.99       99.99  99.99       99.99
03 08 16.0  -23 41 29  177  A419      A  cD    19.41  99.99   9.44        20.46  13.87        21.78  99.999   0.003   0.068   0.339   0.50   5.91       21.28  10.11       21.80
03 08 10.9  -23 40 54  178  A419      B  S      8.71  99.99   3.27        20.15  15.87        20.95  99.999   0.003   0.023   0.276   6.12   1.61       22.13   2.07       19.32
03 08 15.9  -23 40 47  179  A419      C  E     12.45  99.99   2.09        18.62  15.31        20.02  99.999   0.003   0.070   0.352  99.99  99.99       99.99  99.99       99.99
03 08 28.1  -23 46 30  180  A419      D  E     11.27  99.99   3.68        19.81  15.27        21.20  99.999   0.000   0.070   0.349  99.99  99.99       99.99  99.99       99.99
03 08 33.3  -23 47 55  181  A419      E  S      6.81  99.99   6.17        21.07  15.41        21.85  99.999   0.000   0.022   0.265  12.20   1.34       21.95   3.90       20.16
03 08 21.6  -23 38 48  182  A419      F  S     13.95   0.23   5.17        20.00  14.72        21.57   1.579   0.003   0.021   0.254   0.54   2.44       20.23   8.72       22.27
03 08 20.3  -23 37 32  183  A419      G  S     15.37  99.99   3.74        19.36  14.67        20.66  99.999   0.003   0.013   0.154   0.76   1.90       19.90   3.83       20.32
03 08 16.3  -23 33 50  184  A419      H  E/S0  17.07   0.03   4.25        19.38  14.52        20.71   1.561   0.003   0.067   0.336   0.36   3.01       20.36   4.61       20.99
03 08 48.6  -23 26 07  185  A419      I  E/S0  13.43   0.48   5.66        20.22  14.74        21.75   1.523   0.003   0.068   0.340   0.58   2.62       20.44   8.66       22.23
03 09 20.2  -23 25 44  186  A419      J  S     14.19   0.04   4.20        19.65  14.70        21.10  99.999   0.003   0.013   0.155   0.67   1.91       19.88   5.44       21.19
03 08 03.5  -23 35 52  187  A419      1  S      9.25  99.99   4.93        20.60  15.43        22.00  99.999   0.003   0.021   0.259  99.99  99.99       99.99  99.99       99.99
03 07 50.8  -23 48 54  188  A419      2  S      8.94  99.99   3.61        20.20  15.71        21.28  99.999   0.013   0.022   0.262   1.14   2.17       21.32   2.75       20.30
04 33 37.8  -13 15 39  189  A496      A  cD    36.49   0.69  32.75        21.31  11.88        22.56   1.698   0.015   0.033   0.164   0.19  34.05       22.98  17.55       21.94
04 34 10.4  -13 22 13  190  A496      B  E/S0  20.12   0.18   6.99        19.91  13.83        21.29   1.670   0.017   0.035   0.173   0.07   7.73       21.60   1.94       20.03
04 33 57.0  -13 27 45  192  A496      D  E     19.42   0.06   7.41        20.06  13.86        21.46   1.664   0.017   0.032   0.161  99.99  99.99       99.99  99.99       99.99
04 35 06.9  -13 23 39  193  A496      1  E/S0  16.61   0.14   4.71        19.56  14.34        20.99   1.738   0.041   0.031   0.157   0.17   3.77       20.65   7.36       22.63
04 33 41.5  -13 10 13  194  A496      2  SB0   20.49  99.99   4.11        18.99  14.07        20.33  99.999   0.020   0.032   0.162   0.30   3.09       20.05   4.49       20.78
04 33 32.1  -13 10 19  195  A496      3  S     18.00   0.04  11.78        20.97  13.76        22.76   1.641   0.020   0.009   0.116   0.29  20.30       23.83   1.00       17.24
04 45 11.5  -15 52 12  196  J34       A  cD    48.55   0.13  71.15        22.11  11.01        23.59   1.523   0.181   0.036   0.180   0.07  80.60       23.85   6.68       19.95
04 45 21.8  -15 47 29  197  J34       B  E/S0  22.95   0.39   5.06        19.16  13.81        20.48   1.459   0.142   0.041   0.204   0.24   4.17       20.37   4.91       20.88
04 45 35.0  -16 01 16  198  J34       C  E/S0  20.57   0.51   4.47        19.09  14.01        20.53   1.515   0.065   0.035   0.173   0.19   3.47       20.12   7.50       22.23
04 45 31.2  -16 04 17  199  J34       D  E/S0  17.71   0.61   3.98        19.18  14.35        20.58   1.472   0.065   0.034   0.172   0.34   2.71       20.06   5.06       21.19
04 43 45.4  -15 49 00  200  J34       E  E/S0  21.18   0.31   8.80        20.23  13.67        21.42   1.458   0.166   0.039   0.194   0.33   8.09       21.75   6.01       20.90
04 47 51.8  -15 31 31  201  J34       F  E/S0  31.87   0.19  10.51        19.81  12.86        21.29   1.508   0.123   0.039   0.196   0.43   6.00       20.38  15.90       22.01
04 47 13.4  -15 55 23  202  J34       1  E/S0  18.11  99.99   6.03        19.86  14.12        21.20  99.999   0.070   0.036   0.182   0.84   2.67       20.15   6.49       20.87
04 46 56.0  -16 26 17  203  J34       2  E/S0  19.79  99.99   8.56        20.28  13.78        21.58  99.999   0.065   0.035   0.174   0.35   6.39       21.37   8.46       21.71
04 46 51.7  -16 20 07  204  J34       3  S      9.85  99.99   6.71        20.84  14.87        21.67  99.999   0.065   0.012   0.140   7.18   1.60       21.40   4.40       20.06
04 46 37.7  -16 18 13  205  J34       4  S     16.56  99.99   5.48        19.81  14.28        21.20  99.999   0.065   0.012   0.141   0.49  10.88       23.12   1.55       18.28
04 52 49.3  +01 15 32  206  J10       A  E/S0  38.13   0.82  11.61        19.70  12.51        21.03   1.541   0.178   0.030   0.149   0.15  10.31       20.99  10.98       21.77
04 52 57.7  +01 15 23  207  J10       B  S     10.69  99.99   7.30        20.81  14.62        21.56  99.999   0.178   0.009   0.105  20.02   1.51       22.08   4.51       19.82
04 53 28.8  +01 16 56  208  J10       C  E     17.81   0.62   3.68        19.00  14.31        20.40   1.369   0.178   0.030   0.150  99.99  99.99       99.99  99.99       99.99
04 58 54.6  -00 29 20  209  P597-1    A  cD    52.34   0.28  25.40        20.45  11.50        21.82   1.623   0.149   0.015   0.075   0.62  13.37       20.97  29.46       21.82
04 58 44.0  -00 28 42  210  P597-1    B  E/S0  31.54   0.49   6.88        19.12  13.00        20.68   1.590   0.149   0.016   0.078   1.07   1.82       18.41   8.82       20.38
04 58 33.3  -00 33 12  211  P597-1    C  S     28.50   0.35   3.54        18.04  13.36        19.62   1.602   0.173   0.004   0.054   0.43   1.88       18.45   6.83       20.78
04 58 31.5  -00 34 30  212  P597-1    D  SB0   27.44   0.08   6.05        19.13  13.28        20.42  99.999   0.173   0.014   0.069   0.18   7.24       21.08   2.13       18.90
04 58 38.6  -00 17 28  213  P597-1    E  S     18.86  99.99   6.52        19.97  13.97        21.08  99.999   0.149   0.005   0.067   1.68   2.35       20.22   5.41       20.07
04 59 43.1  -00 35 59  214  P597-1    1  S      8.96   0.43   5.33        20.66  15.10        21.36  99.999   0.149   0.005   0.058  99.99  99.99       99.99  99.99       99.99
04 54 52.2  -18 06 53  215  J35       A  cD    41.83   0.58  40.15        21.38  11.51        22.61   1.536   0.068   0.032   0.161   0.23  46.28       23.31  17.43       21.39
04 57 04.5  -18 17 09  216  J35       B  E/S0  24.36   0.13   6.92        19.58  13.53        20.97   1.543   0.094   0.032   0.158   0.40   4.48       20.40   8.41       21.37
04 56 53.7  -18 14 44  217  J35       C  E/S0  24.01  99.99   3.76        18.56  13.83        19.87  99.999   0.094   0.032   0.159   0.41   2.62       19.54   3.87       19.96
04 55 23.2  -18 23 14  218  J35       D  S     14.59  99.99   5.09        19.95  14.57        21.22  99.999   0.061   0.011   0.131   0.96   2.27       20.32   4.99       20.69
04 57 17.8  -17 27 15  219  J35       E  S     24.44   0.07   7.64        19.74  13.57        21.17  99.999   0.094   0.018   0.220   0.94   2.77       19.65   8.90       20.87
04 53 55.4  -18 20 44  220  J35       1  S     19.23  99.99   4.52        19.23  14.10        20.76  99.999   0.061   0.012   0.148   0.62   2.03       19.41   6.60       21.09
04 51 20.4  -17 30 08  221  J34/35    A  E/S0  33.85  99.99  10.42        19.74  12.79        21.07  99.999   0.056   0.032   0.159   0.85   4.70       20.07  11.03       20.71
04 52 12.2  -17 24 30  222  J34/35    B  E     24.01  99.99   5.63        19.23  13.62        20.63  99.999   0.051   0.036   0.179  99.99  99.99       99.99  99.99       99.99
04 47 34.3  -17 20 51  223  J34/35    C  S     11.30   0.97  11.82        21.20  13.98        21.97  99.999   0.051   0.010   0.117  13.90   1.95       21.61   7.46       20.27
04 47 04.1  -17 20 58  224  J34/35    D  S     10.96  99.99   9.02        21.01  14.37        21.81  99.999   0.053   0.009   0.114  11.17   1.38       21.04   5.78       20.14
04 51 00.1  -17 19 55  225  J34/35    1  S     14.86  99.99   5.25        20.01  14.54        21.10  99.999   0.061   0.010   0.124   1.60   2.14       20.49   4.27       20.08
04 50 41.7  -16 45 04  226  J34/35    2  E     18.78  99.99   5.77        19.70  14.13        21.10  99.999   0.070   0.055   0.275  99.99  99.99       99.99  99.99       99.99
04 48 00.1  -16 39 52  227  J34/35    3  S     15.90  99.99  14.57        21.49  13.82        23.11  99.999   0.053   0.010   0.123   0.17  19.96       23.74   1.50       18.65
04 59 55.1  -18 32 41  228  P777-1    A  S     26.60  99.99  12.25        20.41  13.15        21.14  99.999   0.097   0.013   0.164  49.20   1.00       20.62   7.43       19.35
05 00 24.3  -18 51 58  229  P777-1    B  cD    15.51   0.21  13.77        21.31  13.85        22.53  99.999   0.099   0.056   0.280   0.64   8.85       22.28  12.32       22.10
04 59 33.4  -18 12 18  230  P777-1    C  E     23.61   0.07   9.52        20.15  13.44        21.55  99.999   0.109   0.042   0.212  99.99  99.99       99.99  99.99       99.99
05 01 27.8  -18 18 33  231  P777-1    1  E/S0  12.41  99.99   7.74        20.87  14.60        22.44  99.999   0.116   0.042   0.210   0.74   2.92       20.75  11.31       22.61
05 02 54.2  -20 21 59  232  P777-2    A  E/S0  33.33   0.13  11.16        19.88  12.74        21.19  99.999   0.037   0.024   0.123   0.46   7.34       20.77  11.65       21.22
05 03 11.6  -20 19 01  233  P777-2    B  E/S0  21.80   0.17   5.94        19.58  13.85        20.76  99.999   0.037   0.031   0.153   0.94   3.11       20.28   5.29       20.11
05 03 03.6  -20 16 32  234  P777-2    C  S      7.35  99.99   5.68        20.93  15.27        21.70  99.999   0.039   0.008   0.095  11.59   1.72       22.48   3.56       20.01
05 03 23.5  -20 18 42  235  P777-2    D  S     14.63   0.07   9.96        21.01  14.15        22.53  99.999   0.039   0.010   0.126   1.43   1.76       19.60  11.37       21.88
05 04 14.9  -20 06 59  236  P777-2    E  SB    23.61  99.99   5.15        19.15  13.70        20.45  99.999   0.037   0.008   0.095   0.30   4.07       20.32   4.91       20.63
05 03 47.5  -20 00 06  237  P777-2    F  S     12.15   0.03  10.89        21.27  14.19        22.53  99.999   0.037   0.008   0.094   0.46  18.45       24.22   3.62       20.13
05 03 29.9  -20 27 25  238  P777-2    1  E/S0  15.48  99.99   7.19        20.38  14.23        22.03  99.999   0.037   0.031   0.155   0.52   3.28       20.52  14.52       23.07
05 05 16.4  -19 13 06  239  P777-3    A  cD    24.10   0.15  11.15        20.38  13.38        21.71  99.999   0.053   0.054   0.271   0.15   9.86       21.66  10.81       22.50
05 05 12.8  -19 08 36  240  P777-3    B  E/S0  21.26   0.18   6.53        19.72  13.88        21.13  99.999   0.053   0.055   0.277   0.73   2.91       19.95   7.90       21.07
05 04 35.6  -19 16 11  241  P777-3    C  E/S0  22.09   0.16   6.79        19.72  13.69        21.13  99.999   0.053   0.030   0.149   0.75   2.99       19.94   8.19       21.05
05 06 20.8  -19 28 02  242  P777-3    D  S     29.15  99.99   5.29        18.87  13.32        20.13  99.999   0.041   0.005   0.062   0.98   2.33       19.22   5.17       19.59
05 04 22.4  -19 02 26  243  P777-3    E  S     17.61  99.99   8.62        20.47  13.99        21.84  99.999   0.053   0.014   0.175   0.65   4.39       20.94  10.03       21.81
05 04 43.6  -19 18 37  244  P777-3    F  S     15.63  99.99   6.51        20.18  14.35        21.96  99.999   0.053   0.018   0.217   0.52   2.75       20.15  17.99       23.55
05 04 35.7  -19 19 21  245  P777-3    G  E/S0  18.24   0.16   3.99        19.13  14.36        20.54  99.999   0.053   0.055   0.273   0.34   2.66       19.96   5.40       21.27
05 03 54.4  -19 07 43  246  P777-3    H  S     21.93  99.99   5.30        19.27  13.84        20.80  99.999   0.053   0.014   0.173   0.47   2.80       19.69   8.69       21.58
05 05 35.0  -19 09 24  247  P777-3    1  E/S0  13.41  99.99   4.92        19.97  14.75        21.60  99.999   0.053   0.054   0.270   0.51   2.33       20.19   9.43       22.57
05 04 59.0  -19 18 58  248  P777-3    2  S      8.94  99.99   7.79        21.02  14.76        21.77  99.999   0.053   0.015   0.179  20.12   1.20       21.66   4.83       20.03
05 04 00.9  -23 59 47  249  A533-1    A  cD    26.19  99.99  15.84        20.77  12.94        21.94  99.999   0.027   0.041   0.207   1.63   5.07       20.74  13.82       20.99
05 03 57.9  -24 00 33  250  A533-1    B  E/S0  15.44  99.99   3.96        19.34  14.52        20.91  99.999   0.027   0.040   0.199   0.21   2.77       20.16  19.59       24.72
05 03 50.7  -23 31 01  251  A533-1    C  E/S0  24.65  99.99   6.73        19.53  13.56        20.88   1.511   0.017   0.042   0.210   0.43   4.36       20.37   7.71       21.13
05 05 36.5  -24 19 54  252  A533-1    D  E/S0  19.87  99.99   6.68        19.85  13.90        21.33  99.999   0.013   0.034   0.172   0.55   3.38       20.24   9.36       21.71
05 01 35.4  -23 44 47  253  A533-1    E  S     17.40   0.73   5.81        19.83  14.18        21.36  99.999   0.013   0.012   0.144   0.86   2.02       19.61   7.65       21.27
05 01 08.0  -23 44 28  254  A533-1    F  S     24.92  99.99   6.95        19.53  13.53        21.04  99.999   0.005   0.015   0.186   0.58   3.30       19.80  10.10       21.42
05 01 11.5  -23 56 34  255  A533-1    G  E/S0  23.39  99.99   7.15        19.70  13.64        21.10   1.468   0.005   0.047   0.235   0.31   5.04       20.63   9.19       21.82
05 05 40.0  -23 44 50  256  A533-1    H  S     21.67   1.62  12.59        20.78  13.45        22.78  99.999   0.017   0.012   0.152   0.43  29.39       24.40   1.47       17.42
05 01 36.1  -22 36 03  257  A533      A  cD    22.40  99.99  29.14        22.05  12.94        23.64  99.999   0.008   0.048   0.242   0.85   9.58       21.70  41.41       23.66
05 01 08.3  -22 34 59  258  A533      B  E/S0  24.46  99.99  10.41        20.24  13.37        21.64  99.999   0.008   0.048   0.238   0.42   6.50       20.99  13.20       22.08
05 01 06.7  -22 34 57  259  A533      C  E/S0  15.99  99.99   6.73        20.21  14.28        21.88  99.999   0.008   0.053   0.264   0.66   2.58       20.06  11.96       22.46
05 00 18.4  -22 23 38  260  A533      D  E/S0  20.33  99.99   7.74        20.07  13.83        21.47  99.999   0.010   0.050   0.249   0.94   2.85       20.01   8.83       21.14
05 00 31.1  -22 18 29  261  A533      E  E/S0  18.74  99.99  10.36        20.67  13.80        22.23  99.999   0.010   0.049   0.248   0.15  13.54       22.79   1.40       18.55
05 02 28.5  -22 43 40  262  A533      F  S      4.83  99.99   9.36        21.53  14.88        22.26  99.999   0.017   0.014   0.172  28.65   1.68       22.87   5.73       20.50
05 01 31.5  -22 58 59  263  A533      G  E     19.93  99.99   4.60        19.20  14.06        20.60  99.999   0.005   0.041   0.206  99.99  99.99       99.99  99.99       99.99
05 01 45.8  -23 09 42  264  A533      H  S      7.73   0.29   9.89        21.39  14.59        22.19  99.999   0.008   0.012   0.141  10.48   2.04       22.01   6.32       20.52
05 48 38.4  -25 28 41  266  A548-1    A  cD    27.92   0.40  22.40        21.15  12.58        22.35  99.999   0.000   0.040   0.198   0.30  21.68       22.76  14.16       21.74
05 48 43.2  -25 28 39  267  A548-1    B  E/S0  29.69   0.31  10.39        19.92  13.01        21.35  99.999   0.000   0.040   0.200   0.40   6.40       20.63  14.28       21.97
05 47 34.8  -25 32 46  268  A548-1    C  E/S0  18.26  99.99  10.58        20.72  13.78        22.07  99.999   0.000   0.043   0.214   0.12  12.11       22.53   3.37       20.70
05 47 25.2  -25 34 24  269  A548-1    D  E/S0  25.80  99.99   9.78        20.06  13.29        21.42  99.999   0.000   0.044   0.218   0.33   7.01       21.04  11.24       21.89
05 46 55.5  -25 38 08  270  A548-1    E  E/S0  26.36  99.99  10.36        20.13  13.22        21.45  99.999   0.000   0.045   0.227   0.36   7.44       21.14  10.93       21.68
05 47 47.6  -25 44 45  271  A548-1    F  S     17.14  99.99  10.99        20.85  13.82        21.99  99.999   0.000   0.014   0.166   1.04   5.91       21.66   9.21       21.20
05 47 43.3  -25 54 57  272  A548-1    G  E/S0  25.31   0.03   5.18        19.03  13.64        20.36  99.999   0.003   0.038   0.188   0.26   4.11       20.17   5.39       20.84
05 49 21.8  -25 20 48  273  A548-1    H  E/S0  29.00   0.22  10.04        19.96  13.13        21.11   1.458   0.000   0.040   0.198   0.78   6.51       21.04   8.23       20.42
05 47 26.7  -25 14 51  274  A548-1    I  S     20.86   0.35  20.38        21.55  13.18        22.93  99.999   0.000   0.014   0.166   1.38   5.00       20.83  21.42       22.25
05 47 24.6  -25 15 23  275  A548-1    J  E/S0  17.51   0.35   9.26        20.60  13.94        22.33  99.999   0.000   0.042   0.211   0.63   3.52       20.42  18.43       23.13
05 48 33.3  -25 21 53  276  A548-1    K  DB    15.14  99.99   7.87        20.56  14.26        21.96  99.999   0.000   0.042   0.211  99.99  99.99       99.99  99.99       99.99
05 49 59.2  -25 44 20  277  A548-1    L  S     23.35   0.18   5.05        19.11  13.77        20.59  99.999   0.000   0.012   0.148   0.78   2.01       19.13   6.49       20.55
05 50 02.6  -25 46 14  278  A548-1    M  E/S0  21.75   0.35   6.15        19.62  13.85        20.78  99.999   0.000   0.039   0.193   0.38   5.89       21.27   3.89       20.03
05 45 21.8  -25 47 35  279  A548-1    N  S     27.55   0.02   9.84        20.03  13.24        21.10  99.999   0.003   0.012   0.150   2.27   2.71       19.91   7.87       19.94
05 45 05.0  -25 47 42  280  A548-1    O  S     19.28   0.06   4.77        19.36  14.15        20.70  99.999   0.000   0.012   0.140   0.35   3.37       20.33   5.34       21.06
05 49 13.2  -25 36 43  281  A548-1    P  E/S0  18.44  99.99   6.10        19.87  14.12        21.08  99.999   0.000   0.042   0.212   0.42   4.94       21.19   4.83       20.70
05 45 27.2  -25 53 54  282  A548-1    Q  E/S0  14.31  99.99   3.80        19.46  14.73        20.90  99.999   0.010   0.046   0.229   0.38   2.36       20.17   5.41       21.61
05 45 29.8  -25 55 58  283  A548-1    R  E/S0  14.14   0.14   3.05        19.06  14.81        20.55  99.999   0.010   0.042   0.211   0.16   2.37       20.06   8.25       23.37
05 46 34.1  -25 22 53  284  A548-1    1  E     16.59   0.10   3.60        19.09  14.49        20.49  99.999   0.000   0.040   0.200  99.99  99.99       99.99  99.99       99.99
05 42 18.9  -26 05 53  285  A548-2    A  E/S0  27.65   0.23   6.54        19.27  13.38        20.65  99.999   0.000   0.040   0.198   0.30   4.69       20.23   8.05       21.31
05 42 04.7  -26 07 20  286  A548-2    B  cD    32.15   0.29  19.25        20.78  12.54        22.11  99.999   0.000   0.038   0.193   0.95   7.76       20.92  20.40       21.68
05 42 04.8  -26 08 42  287  A548-2    C  S     14.57   0.05   4.80        19.99  14.77        20.72  99.999   0.000   0.012   0.144  39.66   1.00       22.00   2.91       18.93
05 42 07.3  -26 11 54  288  A548-2    D  E/S0  33.37   0.04  10.93        19.81  12.81        21.21  99.999   0.000   0.040   0.197   0.24   8.26       20.84  14.41       22.19
05 41 25.6  -26 14 31  289  A548-2    E  S     12.10  99.99   6.17        20.52  14.76        21.44  99.999   0.000   0.012   0.145   3.16   2.38       21.40   4.31       20.04
05 41 20.6  -26 15 34  290  A548-2    F  E/S0  21.61  99.99   4.38        18.99  13.96        20.45  99.999   0.000   0.038   0.189   0.49   2.39       19.50   6.19       20.95
05 41 02.6  -26 11 14  291  A548-2    G  E/S0  17.94  99.99   4.15        19.22  14.31        20.64  99.999   0.000   0.040   0.199   0.32   2.80       20.06   5.78       21.47
05 43 15.0  -25 54 12  292  A548-2    H  E     22.36   0.30   5.89        19.44  13.77        20.83  99.999   0.049   0.043   0.213  99.99  99.99       99.99  99.99       99.99
05 42 20.9  -25 32 32  293  A548-2    I  E/S0  29.08  99.99  11.02        20.07  12.98        21.41  99.999   0.022   0.030   0.150   0.39   7.48       20.97  12.42       21.71
05 42 14.7  -25 32 25  294  A548-2    J  SB    11.91  99.99   9.18        21.12  14.43        22.29  99.999   0.022   0.009   0.111   2.10   2.03       20.46   7.88       21.21
05 44 56.2  -25 55 17  295  A548-2    K  E/S0  19.51   0.11   7.41        20.08  13.91        21.35  99.999   0.049   0.042   0.211   0.61   4.54       20.93   7.15       21.06
05 45 08.0  -26 05 35  296  A548-2    L  S     10.92  99.99   7.58        20.85  14.63        21.66  99.999   0.000   0.013   0.163   8.45   1.80       21.56   4.90       20.02
05 43 03.6  -25 59 07  297  A548-2    M  S      5.75  99.99   5.08        21.01  15.67        21.75  99.999   0.000   0.011   0.138  23.47   1.20       22.75   3.11       20.00
05 44 29.6  -26 03 32  298  A548-2    N  E/S0  24.30  99.99   5.20        19.09  13.69        20.54  99.999   0.000   0.039   0.195   0.53   2.74       19.55   7.12       20.92
05 44 25.8  -26 04 42  299  A548-2    O  E     15.98  99.99   2.72        18.65  14.66        20.04  99.999   0.000   0.038   0.189  99.99  99.99       99.99  99.99       99.99
05 42 54.9  -26 18 44  300  A548-2    1  S     12.49   0.16   3.19        19.60  15.26        20.31  99.999   0.000   0.012   0.145  99.99  99.99       99.99  99.99       99.99
05 41 46.4  -25 51 57  301  A548-2    2  E     17.46   0.68   3.51        18.96  14.41        20.35  99.999   0.015   0.039   0.193  99.99  99.99       99.99  99.99       99.99
13 05 36.6  +53 33 49  302  J11       A  E/S0  24.92   0.12   8.10        19.81  13.40        21.20   1.469   0.020   0.030   0.148   0.71   3.82       20.15   9.47       21.10
13 05 55.8  +53 39 35  303  J11       B  E/S0  24.73  99.99   8.03        19.83  13.44        21.14   1.455   0.020   0.029   0.147   0.78   3.91       20.29   8.39       20.82
13 05 32.2  +53 41 07  304  J11       C  E/S0  30.12   0.27   6.50        19.13  13.20        20.38   1.488   0.020   0.030   0.149   0.20   6.31       20.65   4.19       20.12
13 05 03.2  +53 39 14  305  J11       D  SB    22.43  99.99   9.88        20.31  13.47        21.52   1.447   0.020   0.009   0.113   1.51   3.13       20.21   8.97       20.66
13 05 26.0  +53 35 29  306  J11       E  S     22.48   0.24   2.43        17.78  14.02        19.18   1.221   0.020   0.012   0.148  99.99  99.99       99.99  99.99       99.99
13 07 22.0  +53 35 11  307  J11       F  E/S0  22.80   0.36   6.73        19.72  13.71        20.83   1.434   0.027   0.029   0.146   0.82   4.55       20.91   5.25       20.05
13 06 51.0  +53 32 48  308  J11       1  E/S0  15.11  99.99   2.84        18.90  14.77        20.08  99.999   0.037   0.031   0.155   0.36   2.67       20.50   1.85       19.42
13 43 24.9  +30 04 11  310  J12       A  E/S0  27.93   0.16   7.48        19.45  13.27        20.92   1.466   0.000   0.040   0.202   0.14   6.00       20.51  16.88       23.47
13 42 55.5  +29 52 07  311  J12       B  E/S0  27.83  99.99   6.16        19.12  13.33        20.68   1.513   0.000   0.036   0.181   0.67   2.56       19.17   9.18       20.98
13 42 48.7  +29 42 22  312  J12       C  E/S0  19.41  99.99   3.80        18.94  14.23        20.33   1.448   0.000   0.044   0.220   0.37   2.52       19.79   4.69       20.81
13 44 14.3  +29 48 13  313  J12       D  E/S0  18.47  99.99   4.15        19.21  14.37        20.55   1.502   0.000   0.060   0.298   0.52   2.49       19.95   4.59       20.59
13 42 23.4  +29 50 51  314  J12       E  E     22.08  99.99   7.79        19.94  13.66        21.33   1.428   0.000   0.044   0.222  99.99  99.99       99.99  99.99       99.99
13 42 23.5  +29 49 29  315  J12       F  E/S0  24.77  99.99   6.74        19.53  13.57        20.89   1.546   0.000   0.042   0.209   0.61   3.60       20.08   7.71       20.87
13 44 11.6  +29 35 00  316  J12       1  E/S0  16.99   0.16   4.83        19.55  14.35        21.05  99.999   0.000   0.051   0.257   0.32   3.09       20.28   8.64       22.36
13 41 17.1  +29 50 03  317  J12       2  E/S0  10.56   0.01   4.11        20.12  15.23        21.44  99.999   0.000   0.116   0.583   0.76   1.99       20.55   4.41       21.17
13 55 13.4  +25 03 06  318  J13       A  E/S0  35.32   0.01   9.69        19.52  12.72        20.93   1.488   0.000   0.031   0.156   0.38   6.26       20.31  12.72       21.52
13 55 12.6  +25 01 17  319  J13       B  SB    23.48  99.99  11.10        20.42  13.32        21.64   1.382   0.000   0.010   0.121   0.33   9.64       21.81   8.41       21.33
13 55 34.4  +25 02 58  320  J13       C  S     16.21   0.21   5.11        19.83  14.42        20.92  99.999   0.000   0.009   0.114   1.14   2.92       20.83   4.01       19.99
13 54 55.8  +25 07 21  321  J13       D  E/S0  25.15   0.12   6.19        19.38  13.56        20.67   1.655   0.000   0.029   0.146   0.61   3.66       20.15   6.23       20.44
13 53 40.6  +25 04 46  322  J13       E  E/S0  24.85  99.99  10.23        20.18  13.38        21.71   1.479   0.000   0.058   0.291   0.59   4.70       20.39  15.50       22.15
13 52 44.9  +25 02 24  323  J13       F  E/S0  24.40  99.99   5.16        19.04  13.61        20.58   1.404   0.000   0.029   0.144   0.57   2.44       19.30   7.89       21.07
13 52 37.5  +24 44 54  324  J13       G  E/S0  32.98  99.99   9.08        19.55  12.89        20.89   1.467   0.000   0.030   0.151   0.46   5.76       20.37  10.09       21.02
13 51 05.4  +25 05 35  325  J13       H  E/S0  32.97  99.99  13.72        20.20  12.64        21.68   1.471   0.000   0.029   0.147   0.20  10.14       21.14  28.75       23.74
13 51 04.8  +25 04 57  326  J13       I  E     19.04   1.05   2.33        18.02  14.32        19.42  99.999   0.000   0.030   0.148  99.99  99.99       99.99  99.99       99.99
13 50 30.9  +24 58 35  327  J13       J  E/S0  22.78  99.99   5.89        19.45  13.73        20.81   1.367   0.000   0.030   0.147   0.97   2.23       19.47   6.41       20.40
13 50 30.9  +24 57 45  328  J13       K  E/S0  22.85  99.99   6.03        19.48  13.71        20.79   1.584   0.000   0.030   0.149   0.35   4.46       20.55   6.07       20.96
13 50 25.1  +24 54 30  329  J13       L  E     14.33   0.25   5.45        20.06  14.60        21.45   1.513   0.000   0.052   0.261  99.99  99.99       99.99  99.99       99.99
